System,Site,Process,Condition,ICM V4.0,ICM V3.1 Surgical,ICM V3.1 Non-surgical,Unique code,APII code
Respiratory,Brain lesions causing respiratory failure,Seizures,Eclampsia,1.10.33.2,1.1.10.33.2,2.1.10.33.2,GE60,N07
Respiratory,Brain lesions causing respiratory failure,Seizures,Alcohol withdrawal seizures,1.10.33.3,1.1.10.33.3,2.1.10.33.3,EN8,N07
Respiratory,Brain lesions causing respiratory failure,Tumour or malignancy,Primary brain or meningeal tumour,1.10.39.1,1.1.10.39.1,2.1.10.39.1,NE29,N02
Respiratory,Brain lesions causing respiratory failure,Tumour or malignancy,Secondary intracranial tumour,1.10.39.2,1.1.10.39.2,2.1.10.39.2,NE32,N02
Respiratory,Brain lesions causing respiratory failure,Vascular,Berry or other intracranial aneurysm,1.10.41.1,1.1.10.41.1,2.1.10.41.1,NE4,N14
Respiratory,Brain lesions causing respiratory failure,Vascular,Intracranial arterio-venous malformation,1.10.41.2,1.1.10.41.2,2.1.10.41.2,NE1,N14
Respiratory,Brain lesions causing respiratory failure,Vascular,Thrombo-occlusive disease of brain,1.10.41.3,1.1.10.41.3,2.1.10.41.3,NE38,N13
Respiratory,Brain lesions causing respiratory failure,Vascular,Venous air embolus,1.10.41.4,1.1.10.41.4,2.1.10.41.4,RE2,N13
Respiratory,Brain lesions causing respiratory failure,Vascular,Vasculitis of cerebral circulation,1.10.41.5,1.1.10.41.5,2.1.10.41.5,NE40,C12
Respiratory,Brain lesions causing respiratory failure,Vascular,Embolic brain lesions causing respiratory failure,1.10.41.6,1.1.10.41.6,2.1.10.41.6,NE46,N13
Respiratory,Brain lesions causing respiratory failure,Trauma,Primary (diffuse) brain injury,1.10.56.1,1.1.10.56.1,2.1.10.56.1,NE54,N03
Respiratory,Brain lesions causing respiratory failure,Trauma,Traumatic subdural haemorrhage,1.10.56.2,1.1.10.56.2,2.1.10.56.2,NE75,N06
Respiratory,Brain lesions causing respiratory failure,Trauma,Traumatic subarachnoid haemorrhage,1.10.56.3,1.1.10.56.3,2.1.10.56.3,NE74,N06
Respiratory,Brain lesions causing respiratory failure,Trauma,Non-accidental injury to brain,1.10.56.4,1.1.10.56.4,2.1.10.56.4,NE28,N03
Respiratory,Brain lesions causing respiratory failure,Trauma,Skull fracture,1.10.56.5,1.1.10.56.5,2.1.10.56.5,NE70,N03
Respiratory,Brain lesions causing respiratory failure,Trauma,Extradural haemorrhage,1.10.56.6,1.1.10.56.6,2.1.10.56.6,NE14,N06
Respiratory,Brain lesions causing respiratory failure,Trauma,Focal brain injury,1.10.56.7,1.1.10.56.7,2.1.10.56.7,NE66,N03
Respiratory,Brain lesions causing respiratory failure,Trauma,"Intracranial injury, unspecified",1.10.56.8,1.1.10.56.8,2.1.10.56.8,NE68,N03
Respiratory,Brain lesions causing respiratory failure,Non-traumatic aneurysm,Berry or other intracranial aneurysm,1.10.57.1,1.1.10.57.1,2.1.10.57.1,NE4,N14
Respiratory,Brain lesions causing respiratory failure,Coma or encephalopathy,Toxic or drug induced coma or encephalopathy,1.10.7.1,1.1.10.7.1,2.1.10.7.1,NE15,M27
Respiratory,Brain lesions causing respiratory failure,Coma or encephalopathy,Metabolic coma or encephalopathy,1.10.7.2,1.1.10.7.2,2.1.10.7.2,NE22,M27
Respiratory,Brain lesions causing respiratory failure,Coma or encephalopathy,Anoxic or ischaemic coma or encephalopathy,1.10.7.3,1.1.10.7.3,2.1.10.7.3,RE8,N27
Respiratory,Brain lesions causing respiratory failure,Coma or encephalopathy,Degenerative coma or encephalopathy,1.10.7.4,1.1.10.7.4,2.1.10.7.4,NE45,N35
Respiratory,Brain lesions causing respiratory failure,Coma or encephalopathy,Anaesthesia related encephalopathy,1.10.7.5,1.1.10.7.5,2.1.10.7.5,NE53,M27
Respiratory,Brain lesions causing respiratory failure,Coma or encephalopathy,Admission solely for purposes of donation after brainstem death (DBD),1.10.7.6,1.1.10.7.6,2.1.10.7.6,NE5,NCA
Respiratory,Brain lesions causing respiratory failure,Coma or encephalopathy,Primary (diffuse) brain injury,1.10.7.7,1.1.10.7.7,2.1.10.7.7,NE54,N03
Respiratory,Brain lesions causing respiratory failure,Congenital or acquired deformity or abnormality,Congenital hydrocephalus,1.10.8.1,1.1.10.8.1,2.1.10.8.1,NE44,N14
Respiratory,Brain lesions causing respiratory failure,Congenital or acquired deformity or abnormality,Secondary hydrocephalus,1.10.8.2,1.1.10.8.2,2.1.10.8.2,NE56,N14
Respiratory,Brain lesions causing respiratory failure,Congenital or acquired deformity or abnormality,Arnold-Chiari malformation,1.10.8.3,1.1.10.8.3,2.1.10.8.3,RE9,N14
Respiratory,Brain lesions causing respiratory failure,Congenital or acquired deformity or abnormality,Congenital abnormality of skull,1.10.8.4,1.1.10.8.4,2.1.10.8.4,NE43,N14
Respiratory,Brain lesions causing respiratory failure,Congenital or acquired deformity or abnormality,Parkinson's Disease,1.10.8.5,1.1.10.8.5,2.1.10.8.5,RE87,N35
Respiratory,Brain lesions causing respiratory failure,Congenital or acquired deformity or abnormality,Multiple sclerosis,1.10.8.6,1.1.10.8.6,2.1.10.8.6,NE26,N35
Respiratory,Brain lesions causing respiratory failure,Congenital or acquired deformity or abnormality,Central hypoventilation (Ondine's curse),1.10.8.7,1.1.10.8.7,2.1.10.8.7,NE7,N14
Respiratory,Bronchi or lower airways,Haemorrhage,Bronchial haemorrhage,1.2.15.1,1.1.2.15.1,2.1.2.15.1,RE14,R23
Respiratory,Bronchi or lower airways,Infection,Chronic bronchiectasis,1.2.27.10,1.1.2.27.10,2.1.2.27.10,RE137,R35
Respiratory,Bronchi or lower airways,Infection,"Pandemic influenza, suspected",1.2.27.11,1.1.2.27.11,2.1.2.27.11,RE138,R01
Respiratory,Bronchi or lower airways,Infection,"Pandemic influenza, confirmed",1.2.27.12,1.1.2.27.12,2.1.2.27.12,RE139,R01
Respiratory,Bronchi or lower airways,Infection,Chronic obstructive pulmonary disease (COPD/COAD) with acute lower respiratory infection,1.2.27.2,1.1.2.27.2,2.1.2.27.2,RE42,R35
Respiratory,Bronchi or lower airways,Infection,Exacerbation of bronchiectasis,1.2.27.3,1.1.2.27.3,2.1.2.27.3,RE41,R35
Respiratory,Bronchi or lower airways,Infection,"Chronic obstructive pulmonary disease (COPD/COAD) with acute exacerbation, unspecified",1.2.27.5,1.1.2.27.5,2.1.2.27.5,RE117,R35
Respiratory,Bronchi or lower airways,Infection,"Acute bronchitis, non-influenza",1.2.27.6,1.1.2.27.6,2.1.2.27.6,RE128,R01
Respiratory,Bronchi or lower airways,Infection,"Acute bronchitis, influenza",1.2.27.7,1.1.2.27.7,2.1.2.27.7,RE129,R01
Respiratory,Bronchi or lower airways,Infection,"Bronchiolitis, non-influenza",1.2.27.8,1.1.2.27.8,2.1.2.27.8,RE130,R01
Respiratory,Bronchi or lower airways,Infection,"Bronchiolitis, influenza",1.2.27.9,1.1.2.27.9,2.1.2.27.9,RE131,R01
Respiratory,Bronchi or lower airways,Inflammation,Smoke inhalation,1.2.28.1,1.1.2.28.1,2.1.2.28.1,RE106,R36
Respiratory,Bronchi or lower airways,Inflammation,Bronchiolitis obliterans,1.2.28.2,1.1.2.28.2,2.1.2.28.2,RE17,R35
Respiratory,Bronchi or lower airways,Obstruction,Asthma attack in new or known asthmatic,1.2.30.1,1.1.2.30.1,2.1.2.30.1,RE11,R25
Respiratory,Bronchi or lower airways,Obstruction,"Chronic obstructive pulmonary disease (COPD/COAD) with acute exacerbation, unspecified",1.2.30.10,1.1.2.30.10,2.1.2.30.10,RE117,R35
Respiratory,Bronchi or lower airways,Obstruction,"Drug, procedure or transfusion induced bronchospasm in non-asthmatic",1.2.30.2,1.1.2.30.2,2.1.2.30.2,RE32,R25
Respiratory,Bronchi or lower airways,Obstruction,Bronchi or lower airway obstruction by foreign body,1.2.30.3,1.1.2.30.3,2.1.2.30.3,RE80,R26
Respiratory,Bronchi or lower airways,Obstruction,Sputum retention,1.2.30.4,1.1.2.30.4,2.1.2.30.4,RE108,R26
Respiratory,Bronchi or lower airways,Obstruction,Extrinsic compression of bronchus by tumour,1.2.30.5,1.1.2.30.5,2.1.2.30.5,RE46,R26
Respiratory,Bronchi or lower airways,Obstruction,Chronic obstructive pulmonary disease (COPD/COAD),1.2.30.6,1.1.2.30.6,2.1.2.30.6,RE21,R35
Respiratory,Bronchi or lower airways,Obstruction,Meconium aspiration,1.2.30.7,1.1.2.30.7,2.1.2.30.7,RE72,R36
Respiratory,Bronchi or lower airways,Obstruction,Bronchiolitis obliterans,1.2.30.8,1.1.2.30.8,2.1.2.30.8,RE17,R35
Respiratory,Bronchi or lower airways,Obstruction,Chronic obstructive pulmonary disease (COPD/COAD) with acute lower respiratory infection,1.2.30.9,1.1.2.30.9,2.1.2.30.9,RE42,R35
Respiratory,Bronchi or lower airways,Tumour or malignancy,Bronchial tumour,1.2.39.1,1.1.2.39.1,2.1.2.39.1,RE15,R02
Respiratory,Bronchi or lower airways,Trauma (or traumatic perforation or rupture),Traumatic perforation or rupture of bronchus,1.2.56.1,1.1.2.56.1,2.1.2.56.1,RE62,R03
Respiratory,Bronchi or lower airways,Trauma (or traumatic perforation or rupture),Instrumental perforation of bronchus,1.2.56.2,1.1.2.56.2,2.1.2.56.2,RE61,R03
Respiratory,Bronchi or lower airways,"Non-traumatic perforation, rupture or fistula","Non-traumatic perforation, rupture or fistula of bronchus",1.2.57.1,1.1.2.57.1,2.1.2.57.1,RE144,R26
Respiratory,Bronchi or lower airways,Congenital or acquired deformity or abnormality,Cystic fibrosis,1.2.8.1,1.1.2.8.1,2.1.2.8.1,RE28,R14
Respiratory,Bronchi or lower airways,Congenital or acquired deformity or abnormality,Bronchopulmonary dysplasia,1.2.8.2,1.1.2.8.2,2.1.2.8.2,RE18,R14
Respiratory,Pulmonary vasculature,Haemorrhage,Goodpasture's syndrome,1.3.15.1,1.1.3.15.1,2.1.3.15.1,RE51,R23
Respiratory,Pulmonary vasculature,Haemorrhage,Pulmonary vasculitis not defined,1.3.15.2,1.1.3.15.2,2.1.3.15.2,RE84,R23
Respiratory,Pulmonary vasculature,Haemorrhage,Leptospirosis,1.3.15.3,1.1.3.15.3,2.1.3.15.3,GE29,R01
Respiratory,Pulmonary vasculature,Haemorrhage,Pulmonary haemorrhage due to contusion,1.3.15.4,1.1.3.15.4,2.1.3.15.4,RE29,R03
Respiratory,Pulmonary vasculature,Haemorrhage,Pulmonary haemorrhage not defined,1.3.15.5,1.1.3.15.5,2.1.3.15.5,RE83,R23
Respiratory,Pulmonary vasculature,Hypertension,Idiopathic pulmonary hypertension,1.3.19.1,1.1.3.19.1,2.1.3.19.1,CA53,C16
Respiratory,Pulmonary vasculature,Hypertension,Eisenmenger's syndrome,1.3.19.2,1.1.3.19.2,2.1.3.19.2,CA131,C14
Respiratory,Pulmonary vasculature,Hypertension,Cor pulmonale,1.3.19.3,1.1.3.19.3,2.1.3.19.3,CA33,C15
Respiratory,Pulmonary vasculature,Hypertension,Chronic thromboembolic pulmonary hypertension,1.3.19.4,1.1.3.19.4,2.1.3.19.4,CA192,C16
Respiratory,Pulmonary vasculature,Inflammation,Goodpasture's syndrome,1.3.28.1,1.1.3.28.1,2.1.3.28.1,RE51,R23
Respiratory,Pulmonary vasculature,Inflammation,Pulmonary vasculitis not defined,1.3.28.2,1.1.3.28.2,2.1.3.28.2,RE84,R23
Respiratory,Pulmonary vasculature,Obstruction,Pulmonary embolus (thrombus),1.3.30.1,1.1.3.30.1,2.1.3.30.1,CA94,R13
Respiratory,Pulmonary vasculature,Obstruction,Fat embolus,1.3.30.2,1.1.3.30.2,2.1.3.30.2,RE47,R13
Respiratory,Pulmonary vasculature,Obstruction,Venous air embolus,1.3.30.3,1.1.3.30.3,2.1.3.30.3,RE2,R13
Respiratory,Pulmonary vasculature,Obstruction,Pulmonary tumour embolus,1.3.30.4,1.1.3.30.4,2.1.3.30.4,RE109,R13
Respiratory,Pulmonary vasculature,Obstruction,Amniotic fluid embolus,1.3.30.5,1.1.3.30.5,2.1.3.30.5,GE10,R13
Respiratory,Pulmonary vasculature,Trauma,Traumatic damage to pulmonary vessels,1.3.56.1,1.1.3.56.1,2.1.3.56.1,RE39,R03
Respiratory,Pulmonary vasculature,Trauma,Instrumental damage to pulmonary vessels,1.3.56.2,1.1.3.56.2,2.1.3.56.2,RE25,R03
Respiratory,Pulmonary vasculature,Congenital or acquired deformity or abnormality,Anomalous pulmonary venous drainage,1.3.8.1,1.1.3.8.1,2.1.3.8.1,RE7,C14
Respiratory,Pulmonary vasculature,Congenital or acquired deformity or abnormality,Pulmonary arterio-venous malformation,1.3.8.2,1.1.3.8.2,2.1.3.8.2,CA93,R14
Respiratory,Pulmonary vasculature,Congenital or acquired deformity or abnormality,Transposition of great arteries,1.3.8.3,1.1.3.8.3,2.1.3.8.3,CA95,C14
Respiratory,Pulmonary vasculature,Congenital or acquired deformity or abnormality,Patent ductus arteriosus,1.3.8.4,1.1.3.8.4,2.1.3.8.4,RE88,C14
Respiratory,Pulmonary vasculature,Congenital or acquired deformity or abnormality,Truncus arteriosus,1.3.8.5,1.1.3.8.5,2.1.3.8.5,CA119,C14
Respiratory,Lungs,Haemorrhage,Pulmonary haemorrhage due to contusion,1.4.15.1,1.1.4.15.1,2.1.4.15.1,RE29,R03
Respiratory,Lungs,Haemorrhage,Goodpasture's syndrome,1.4.15.2,1.1.4.15.2,2.1.4.15.2,RE51,R23
Respiratory,Lungs,Haemorrhage,Leptospirosis,1.4.15.3,1.1.4.15.3,2.1.4.15.3,GE29,R01
Respiratory,Lungs,Haemorrhage,Pulmonary haemorrhage not defined,1.4.15.4,1.1.4.15.4,2.1.4.15.4,RE83,R23
Respiratory,Lungs,Haemorrhage,Pulmonary vasculitis not defined,1.4.15.5,1.1.4.15.5,2.1.4.15.5,RE84,R23
Respiratory,Lungs,Infection,Bacterial pneumonia,1.4.27.1,1.1.4.27.1,2.1.4.27.1,RE82,R01
Respiratory,Lungs,Infection,"Pandemic influenza, suspected",1.4.27.10,1.1.4.27.10,2.1.4.27.10,RE138,R01
Respiratory,Lungs,Infection,"Pandemic influenza, confirmed",1.4.27.11,1.1.4.27.11,2.1.4.27.11,RE139,R01
Respiratory,Lungs,Infection,Fungal or yeast pneumonia,1.4.27.2,1.1.4.27.2,2.1.4.27.2,RE50,R01
Respiratory,Lungs,Infection,Parasitic pneumonia,1.4.27.4,1.1.4.27.4,2.1.4.27.4,RE86,R01
Respiratory,Lungs,Infection,"Pneumonia, no organism isolated",1.4.27.5,1.1.4.27.5,2.1.4.27.5,RE94,R01
Respiratory,Lungs,Infection,Tuberculosis,1.4.27.6,1.1.4.27.6,2.1.4.27.6,RE110,R01
Respiratory,Lungs,Infection,Lung abscess,1.4.27.7,1.1.4.27.7,2.1.4.27.7,RE66,R01
Respiratory,Lungs,Infection,"Viral pneumonia, non-influenza",1.4.27.8,1.1.4.27.8,2.1.4.27.8,RE132,R01
Respiratory,Lungs,Infection,"Viral pneumonia, influenza",1.4.27.9,1.1.4.27.9,2.1.4.27.9,RE133,R01
Respiratory,Lungs,"inflammation (or oedema, fibrosis or inhalation)",Sarcoidosis,1.4.28.1,1.1.4.28.1,2.1.4.28.1,RE103,R35
Respiratory,Lungs,"inflammation (or oedema, fibrosis or inhalation)",Neurogenic pulmonary oedema,1.4.28.10,1.1.4.28.10,2.1.4.28.10,RE76,C15
Respiratory,Lungs,"inflammation (or oedema, fibrosis or inhalation)",Post-radiotherapy pneumonitis or fibrosis,1.4.28.11,1.1.4.28.11,2.1.4.28.11,RE97,R02
Respiratory,Lungs,"inflammation (or oedema, fibrosis or inhalation)",Lymphangitis carcinomatosis,1.4.28.12,1.1.4.28.12,2.1.4.28.12,RE70,R02
Respiratory,Lungs,"inflammation (or oedema, fibrosis or inhalation)",Meconium aspiration,1.4.28.13,1.1.4.28.13,2.1.4.28.13,RE72,R36
Respiratory,Lungs,"inflammation (or oedema, fibrosis or inhalation)",Hyaline membrane disease,1.4.28.14,1.1.4.28.14,2.1.4.28.14,RE55,R15
Respiratory,Lungs,"inflammation (or oedema, fibrosis or inhalation)",Alveolar proteinosis,1.4.28.15,1.1.4.28.15,2.1.4.28.15,RE116,R15
Respiratory,Lungs,"inflammation (or oedema, fibrosis or inhalation)",Cryptogenic or bronchiolitis obliterans organising pneumonia,1.4.28.16,1.1.4.28.16,2.1.4.28.16,RE134,R35
Respiratory,Lungs,"inflammation (or oedema, fibrosis or inhalation)",Pulmonary fibrosis or fibrosing alveolitis,1.4.28.2,1.1.4.28.2,2.1.4.28.2,RE101,R35
Respiratory,Lungs,"inflammation (or oedema, fibrosis or inhalation)",Emphysema,1.4.28.3,1.1.4.28.3,2.1.4.28.3,RE35,R35
Respiratory,Lungs,"inflammation (or oedema, fibrosis or inhalation)",Inhalation pneumonitis (food or vomit),1.4.28.4,1.1.4.28.4,2.1.4.28.4,RE58,R36
Respiratory,Lungs,"inflammation (or oedema, fibrosis or inhalation)",Inhalation pneumonitis (blood),1.4.28.5,1.1.4.28.5,2.1.4.28.5,RE57,R36
